"source","title","authors","year","venue","abstract","doi","url","query_used","fusion_keywords_found","modalities_found_auto","multimodal_score","priority","screen_flag","exclusion_hint","include_decision","exclude_reason_final","notes"
"PubMed","An exploratory study of multi-channel CNN for early detection of lung cancer from longitudinal healthcare records.","Chia-Hui Chien; Shih-Chuan Chang; Yung-Chun Chang; Yu-Chuan Li","2026","Scientific reports","Lung cancer remains the leading cause of cancer-related mortality worldwide, with poor survival rates due to late-stage detection. Current low-dose computed tomography screening faces barriers including high costs and false-positive rates reaching 24%, while artificial intelligence offers opportunities to enhance early detection through longitudinal clinical data analysis. This study developed a Multi-Channel Convolutional Neural Network (MCNN) for lung cancer risk prediction using Taiwan's National Health Insurance Research Database, encompassing 523,539 patients (2,809 lung cancer, 23,783 other cancer, and 496,947 non-cancer). The MCNN was designed as a lightweight model processing nine channels of diagnostic codes, medications, and medical orders over a three-year observation period. Systematic feature selection reduced estimated feature storage requirements by 99.8%, from approximately 1,184 GB for the full ICD feature space to approximately 2.11 GB for the selected features, while retaining clinical relevance. Model performance was assessed using stratified 10-fold cross-validation against seven machine learning baselines, and interpretability was examined through SHAP analysis. The MCNN achieved an F₁-score of 66.91%, precision of 84.47%, and recall of 59.79%. Ablation studies confirmed multi-modal integration benefits, with diagnostic codes providing primary predictive power. SHAP analysis revealed distinct temporal patterns validating the model's ability to identify pre-diagnostic phases through healthcare engagement patterns. Findings are based on internal validation within a single national database, and key risk factors such as smoking history are not captured in administrative claims data; future evaluation in independent external cohorts is therefore warranted to confirm these findings. The model's high precision minimizes false-positive rates while its computational efficiency and clinical interpretability support practical implementation as a complementary claims-based screening support tool for early cancer detection.","10.1038/s41598-026-52173-8","https://pubmed.ncbi.nlm.nih.gov/42115281/","(""lung cancer"" OR ""lung neoplasm"" OR ""non-small cell lung cancer"" OR ""nsclc"" OR ""small cell lung cancer"" OR ""sclc"" OR ""lung adenocarcinoma"" OR ""squamous cell lung carcinoma"" OR ""pulmonary nodule"" OR ""lung carcinoma"") AND (""multimodal"" OR ""multi-modal"" OR ""fusion"" OR ""cross-modal"" OR ""cross modal"" OR ""multimodal learning"" OR ""multimodal deep learning"" OR ""joint learning"" OR ""joint representation"" OR ""cooperative learning"" OR ""cross-attention"" OR ""cross attention"") AND (""deep learning"" OR ""neural network"" OR ""transformer"" OR ""representation learning"" OR ""self-supervised learning"" OR ""machine learning"" OR ""cnn"" OR ""vit"" OR ""vision transformer"" OR ""gnn"")","multi-modal","ct; clinical","9","medium","include_candidate","","","",""
"PubMed","A fusion model based on tumor and peritumoral CT radiomics for differentiating bronchiolar adenoma from lung adenocarcinoma.","Ziqian Zhao; Tengfei Ke; Zeyan Xu; Yong Zhou; Yanwen Dong; Yifan Liu; Jianping Wu; Wenyan Wei; Dan Han; Wen Zhao","2026","Frontiers in oncology","PURPOSE: This study aimed to develop and validate a combined clinical and tumor-peritumoral CT radiomics model to differentiate bronchiolar adenoma (BA) from lung adenocarcinoma (LUAD), thereby improving preoperative diagnostic accuracy and guiding individualized treatment strategies. METHODS: A total of 362 patients with pathologically confirmed BA or LUAD were retrospectively analyzed. Data from Medical Center 1 (n = 281) were divided into training and test sets (7:3 ratio), and data from Medical Center 2 (n = 81) served as an external validation set. Clinical characteristics, CT morphological features, and tumor-peritumoral radiomics features were extracted. Five machine learning algorithms were applied to construct and compare predictive models. RESULTS: Lung lobe distribution, density, vacuolar sign, tumor-associated vessels, distance to pleura, and nodule diameters differed significantly between BA and LUAD. Among radiomics models, the tumor-peritumoral MLP model achieved the best performance (AUCs: 0.918, 0.912, 0.888). The clinical-radiomics fusion model outperformed single models, with AUCs of 0.935, 0.939, and 0.910 and accuracies of 0.862, 0.847, and 0.864 in the training, test, and validation sets, respectively. CONCLUSION: The proposed fusion model enables accurate, non-invasive differentiation between BA and LUAD, offering valuable support for personalized clinical decision-making.","10.21037/qims-2024-2836","https://pubmed.ncbi.nlm.nih.gov/41081208/","(""lung cancer"" OR ""lung neoplasm"" OR ""non-small cell lung cancer"" OR ""nsclc"" OR ""small cell lung cancer"" OR ""sclc"" OR ""lung adenocarcinoma"" OR ""squamous cell lung carcinoma"" OR ""pulmonary nodule"" OR ""lung carcinoma"") AND (""multimodal"" OR ""multi-modal"" OR ""fusion"" OR ""cross-modal"" OR ""cross modal"" OR ""multimodal learning"" OR ""multimodal deep learning"" OR ""joint learning"" OR ""joint representation"" OR ""cooperative learning"" OR ""cross-attention"" OR ""cross attention"") AND (""deep learning"" OR ""neural network"" OR ""transformer"" OR ""representation learning"" OR ""self-supervised learning"" OR ""machine learning"" OR ""cnn"" OR ""vit"" OR ""vision transformer"" OR ""gnn"")","fusion","ct; pathology","12","high","include_candidate","","","",""
"PubMed","Cross-attention multimodal fusion for EGFR mutation prediction: A predictive model using CT and whole-slide images.","Yuanshun Jiang; Bao Feng; Yehang Chen; Junhui Xu; Ronggang Li; Weibin Zhang; Xiangmeng Chen; Wansheng Long; Kunwei Li","2026","Medical physics","BACKGROUND: The prediction of Epidermal Growth Factor Receptor (EGFR) mutation status in advanced lung adenocarcinoma is crucial for targeted therapy. Since EGFR mutations manifest as both macroscopic imaging features on CT and microscopic morphological changes in tissue, integrating these multiscale signals is essential for a comprehensive diagnostic assessment. However, current related research faces two key limitations: on one hand, unimodal deep learning models suffer from limited representational power; on the other hand, existing multimodal methods fail to address the inherent data structural discrepancies between continuous CT and discrete WSI, often losing critical fine-grained details due to forced data compression or shared semantic bottlenecks. OBJECTIVE: To address the above limitations and improve the reliability of EGFR mutation status prediction, this study aims to propose a novel multimodal fusion framework (MFCA) that can effectively capture cross-modal semantic interactions and align imaging features across different scales. METHODS: A novel MFCA based on Cross-Attention (MFCA) is proposed, and its implementation steps are as follows: 1. First, a region-of-interest-guided approach is utilized to coarsely segment whole-slide histopathology images (WSI) into three constituent regions, namely cancerous, stromal, and other regions; 2. Then, a dual-branch encoder is employed to separately extract features from two types of imaging data-global features from Computed Tomography (CT) scans and region-specific features from the segmented WSI; 3. Critically, a bidirectional cross-attention module is introduced into the framework, which is designed to facilitate deep semantic interaction and alignment between the macroscopic context of CT imaging and the microscopic context of histopathology, thereby achieving highly efficient and discriminative feature fusion. RESULTS: On the external validation set, our MFCA framework achieved robust performance, with Area Under the Curve (AUC) values of 0.758(95% CI: 0.683-0.832) for cancerous regions, 0.805(95% CI: 0.716-0.900) for stromal regions, and 0.760(95% CI: 0.686-0.833) for other regions. The model's performance, particularly in the stromal component, was statistically superior to all baseline and competing models. CONCLUSION: The proposed MFCA framework predicts EGFR mutation status by innovatively integrating macroscopic CT imaging with region-specific microscopic WSI features. It serves as a valuable computational tool to support precision oncology for patients with advanced lung adenocarcinoma.","10.1002/mp.70450","https://pubmed.ncbi.nlm.nih.gov/42050780/","(""lung cancer"" OR ""lung neoplasm"" OR ""non-small cell lung cancer"" OR ""nsclc"" OR ""small cell lung cancer"" OR ""sclc"" OR ""lung adenocarcinoma"" OR ""squamous cell lung carcinoma"" OR ""pulmonary nodule"" OR ""lung carcinoma"") AND (""multimodal"" OR ""multi-modal"" OR ""fusion"" OR ""cross-modal"" OR ""cross modal"" OR ""multimodal learning"" OR ""multimodal deep learning"" OR ""joint learning"" OR ""joint representation"" OR ""cooperative learning"" OR ""cross-attention"" OR ""cross attention"") AND (""deep learning"" OR ""neural network"" OR ""transformer"" OR ""representation learning"" OR ""self-supervised learning"" OR ""machine learning"" OR ""cnn"" OR ""vit"" OR ""vision transformer"" OR ""gnn"")","multimodal; fusion; cross-modal; cross-attention","ct; pet; pathology; omics","20","high","include_candidate","","","",""
"PubMed","Deep feature optimization using fusion of multiple self-supervised learning approaches and filter-based feature selection for lung cancer histopathology classification.","Nepolian Vailankanni; Bharanidharan Nagarajan","2026","PloS one","One of the most deadly illnesses in the world is lung cancer, and increasing survival rates require early detection. Lung cancer diagnostics from the imaging modalities is always subjective, and this paves the way for deep learning assisted computer aided techniques. Still, the accuracy of such a technique is the major concern. This research work attempts to enhance lung cancer diagnostics from histopathological images using a previously unaddressed combination of multiple self-supervised learning techniques, filter-based feature selection, and Vision Graph Convolutional Networks. The main contribution lies in optimized feature fusion, and it brings complementary strengths of three different self-supervised learning approaches- contrastive alignment, redundancy reduction, and semantic grouping. The first step involves extracting the key features from histopathological images using a custom Convolutional Neural Network. Three complementary self-supervised learning methods - Deep Cluster, Bootstrap Your Own Latent, and Simple Framework for Contrastive Learning of Visual Representations - are then used to refine each of these features separately. Following optimization, the improved features are combined, and the most significant features from the combined set are found and preserved using a filter-based feature selection technique called Minimum Redundancy Maximum Relevance. Vision Graph Convolutional Neural Network is used as a classifier. Initial experiments are carried out on the 691 histopathological images extracted from the publicly available LungHist700 dataset. This dataset contains histopathological images under three categories: 151 normal subjects, 280 lung adenocarcinoma subjects, and 260 lung squamous cell carcinoma subjects. The proposed approach provided a balanced accuracy of 97% while the plain Vision Graph Convolution Neural Network offers only an 86% balanced accuracy score. Further validation is performed using two more publicly available datasets, namely LC25000 and TCGA UT datasets. The experimental results demonstrate the enhanced lung cancer prediction performance of the proposed approach in all three datasets.","10.1148/radiol.232057","https://pubmed.ncbi.nlm.nih.gov/38591974/","(""lung cancer"" OR ""lung neoplasm"" OR ""non-small cell lung cancer"" OR ""nsclc"" OR ""small cell lung cancer"" OR ""sclc"" OR ""lung adenocarcinoma"" OR ""squamous cell lung carcinoma"" OR ""pulmonary nodule"" OR ""lung carcinoma"") AND (""multimodal"" OR ""multi-modal"" OR ""fusion"" OR ""cross-modal"" OR ""cross modal"" OR ""multimodal learning"" OR ""multimodal deep learning"" OR ""joint learning"" OR ""joint representation"" OR ""cooperative learning"" OR ""cross-attention"" OR ""cross attention"") AND (""deep learning"" OR ""neural network"" OR ""transformer"" OR ""representation learning"" OR ""self-supervised learning"" OR ""machine learning"" OR ""cnn"" OR ""vit"" OR ""vision transformer"" OR ""gnn"")","fusion","ct; pathology","12","high","include_candidate","","","",""
"PubMed","A transformer-based patient-agnostic tumor motion tracking model (TransTracking): A feasibility study in radiotherapy for lung cancer.","Maidina Abuduxiku; Ningning Chai; Xiaoyan An; Yazhou Li; Jian Wang; Ying Luo; Wei Wu; Yinuo Liu; Yang Hu; Qiang Li; Pengbo He","2026","Medical physics","BACKGROUND: Accurate and real-time localization of thoracic tumor targets is essential for effective radiation therapy. Recently, Transformer architectures have demonstrated strong global reasoning capabilities across multiple frames by leveraging both self-attention and cross-attention mechanisms. Transformers have therefore been applied to object tracking with great success. By combining Image Guided Radiation Therapy (IGRT) technologies and deep learning-based object tracking architecture, it is possible to deliver radiation doses to the target area with high accuracy. PURPOSE: This study develops a transformer-based patient-agnostic tracking model (TransTracking) for surface and markerless internal target tracking in thoracic tumor radiotherapy. METHODS: We trained the TransTracking model using the training splits of publicly available object tracking datasets. Subsequently, for internal target tracking, the model is fine-tuned using 10,000 digitally reconstructed radiograph (DRR) images generated from the actual 4DCT datasets of 25 patients. The DRR images are annotated with bounding boxes of the moving tumor. Our method learns to directly predict the target classification and bounding-box regression weights through end-to-end training, enabling accurate target localization in each frame for both surface and internal target tracking sequences. The tracking performance of the trained model was evaluated in 20 volunteers for surface tracking and using DRR images generated from 20 4DCT datasets for internal tumor tracking. To address the limited availability of medical images for training, we conducted the data augmentation procedure to 4DCT datasets and expanded the data scale 40-fold in total. RESULTS: For the surface marker tracking, the mean absolute deviation (MAD) ± standard deviation (SD) between the model-predicted and the actual positions for 20 volunteers was 0.07 ± 0.06 mm, 0.12 ± 0.13 mm, and 0.29 ± 0.20 mm in left-right, superior-inferior, and anterior-posterior directions, respectively. In each directional axis, over 85% of frames exhibited a model-predicted target position within 0.5 mm of the corresponding ground-truth position. For the internal tumor tracking, the MAD ± SD between the predicted and annotated center positions of the tumor bounding boxes is 1.49 ± 1.39 mm, with a mean Intersection over Union (IoU) value of 0.83 and an area under curve (AUC) score of 82% for 20 patients. Additionally, our transformer-based model can extract the target position in 81 ms after an image is acquired. CONCLUSIONS: This study proposed a novel Transformer-based deep learning method aimed at training a patient-agnostic tumor motion tracking model in radiotherapy. The model enables real-time, high-precision tracking of surface markers using vision cameras, offering a cost-effective and compact solution. Additionally, we demonstrated that our method can accurately locate tumor target areas in DRR images with high precision, without the need for individualized training or the implantation of fiducial markers. This feasibility study demonstrates the strong potential of our strategy as a clinically viable solution for moving tumor IGRT.","10.1002/mp.70449","https://pubmed.ncbi.nlm.nih.gov/42027140/","(""lung cancer"" OR ""lung neoplasm"" OR ""non-small cell lung cancer"" OR ""nsclc"" OR ""small cell lung cancer"" OR ""sclc"" OR ""lung adenocarcinoma"" OR ""squamous cell lung carcinoma"" OR ""pulmonary nodule"" OR ""lung carcinoma"") AND (""multimodal"" OR ""multi-modal"" OR ""fusion"" OR ""cross-modal"" OR ""cross modal"" OR ""multimodal learning"" OR ""multimodal deep learning"" OR ""joint learning"" OR ""joint representation"" OR ""cooperative learning"" OR ""cross-attention"" OR ""cross attention"") AND (""deep learning"" OR ""neural network"" OR ""transformer"" OR ""representation learning"" OR ""self-supervised learning"" OR ""machine learning"" OR ""cnn"" OR ""vit"" OR ""vision transformer"" OR ""gnn"")","cross-attention","ct; xray","9","medium","include_candidate","","","",""
"PubMed","Predicting primary resistance to third-generation EGFR-TKIs in lung adenocarcinoma using a multisource cross-modal transformer model.","Yunfan Wang; Ke Min; Li Tao; Jun Jin; Lingling Fan; Xiancheng Yan; QianQian Wang; Dan Wu; Zhiwen Lu; Jian Yang; Chunluan Yuan; Weimin Wang","2026","NPJ precision oncology","The aim of this study was to investigate the utility of a multisource cross-modal Transformer (MC-Trans) model in predicting primary resistance to third-generation epidermal growth factor receptor tyrosine kinase inhibitors (3rd-EGFR-TKIs) in patients with lung adenocarcinoma. A retrospective analysis of clinical and imaging data from 222 lung adenocarcinoma patients treated with 3rd-EGFR-TKIs was conducted. Patients were allocated to a training/validation cohort (n = 136) and two external test cohorts (n = 34 and n = 52). The Table Transformer and a Swin Transformer-based model were employed to extract features from tabular and CT imaging data, respectively, to construct the MC-Trans model. The results demonstrated that MC-Trans exhibited excellent performance in predicting primary resistance, with an ROC-AUC of 0.89, which was significantly superior to those of the unimodal models (tabular model: 0.78; CT model: 0.63). Furthermore, predictions on external Test Cohort 2 revealed that the predictive performance of MC-Trans was comparable to that of a human expert panel. The study also revealed that MC-Trans could predict the risk of disease progression even among patients without primary resistance. In conclusion, MC-Trans may serve as a valuable tool to assist in determining the therapeutic response of lung adenocarcinoma patients to 3rd-EGFR-TKIs. Keywords: Artificial intelligence; Lung Cancer; Multimodal models; Third-generation EGFR-TKIs; Primary Resistance.","10.1038/s41698-026-01420-2","https://pubmed.ncbi.nlm.nih.gov/41998101/","(""lung cancer"" OR ""lung neoplasm"" OR ""non-small cell lung cancer"" OR ""nsclc"" OR ""small cell lung cancer"" OR ""sclc"" OR ""lung adenocarcinoma"" OR ""squamous cell lung carcinoma"" OR ""pulmonary nodule"" OR ""lung carcinoma"") AND (""multimodal"" OR ""multi-modal"" OR ""fusion"" OR ""cross-modal"" OR ""cross modal"" OR ""multimodal learning"" OR ""multimodal deep learning"" OR ""joint learning"" OR ""joint representation"" OR ""cooperative learning"" OR ""cross-attention"" OR ""cross attention"") AND (""deep learning"" OR ""neural network"" OR ""transformer"" OR ""representation learning"" OR ""self-supervised learning"" OR ""machine learning"" OR ""cnn"" OR ""vit"" OR ""vision transformer"" OR ""gnn"")","multimodal; cross-modal","ct; omics; clinical","14","high","include_candidate","","","",""
"PubMed","A multimodal radiomics model to predict disease-free survival in resected non-small cell lung cancer: integrating clinicopathology, dual-energy CT, and deep learning features.","Weiming Zhao; Tingting Li; Xilong Zhou; Wenjing Fan; Yaqi Wang; Huanhuan Zhou; Shuhua Li; Juan Wang; Yihong Gu; Zongyu Xie; Fang Su","2026","Journal of thoracic disease","BACKGROUND: Predicting disease-free survival (DFS) after surgery for non-small cell lung cancer (NSCLC) is crucial for personalized treatment decisions. However, traditional clinical models have limited predictive efficacy. Moreover, the combined value of dual-energy computed tomography (DECT) quantitative parameters, radiomic features, and deep learning (DL) in assessing NSCLC prognosis remains unclear. This study aimed to develop and validate a multimodal machine learning model using feature-level fusion to improve the accuracy of predicting postoperative disease recurrence in NSCLC. METHODS: We retrospectively included 171 NSCLC patients who underwent surgical resection and were pathologically confirmed between January 2019 and October 2023. All patients underwent dual-phase DECT scanning preoperatively. We extracted four types of features from multimodal (I) DECT quantitative parameters; (II) clinicopathological features; (III) radiomic features based on PyRadiomics; and (IV) deep features extracted from a pre-trained three-dimensional (3D) DenseNet121 model. We applied a four-step cascading feature selection pipeline to identify the most predictive feature subset. Subsequently, single-modal predictive models were built using seven machine learning algorithms-logistic regression (LR), K-nearest neighbors (KNN), support vector machine (SVM), random forest (RF), extreme random trees (ExtraTrees), naive Bayes, and extreme gradient boosting (XGBoost)-with hyperparameters optimized via five-fold cross-validation. The fusion model employed a feature-level pre-fusion strategy, synchronously training with the same seven algorithms to maintain comparability. The optimal model for each modality was selected based on the area under the receiver operating characteristic (ROC) curve (AUC). Finally, a comprehensive performance comparison was conducted between the selected optimal fusion model and each single-modal champion model and model interpretation. RESULTS: The Fusion-ExtraTrees model constructed based on 12 optimal features showed great performance on the validation set, with an AUC of 0.889, significantly outperforming the single-modal champion models Clinic-LR, Rad-LR, and DECT-RF (all DeLong test P<0.05). It demonstrated performance similar to DL-3D-DenseNet121 but with better generalization and a lower risk of overfitting. Decision curve analysis (DCA) further confirmed that the fusion model had good clinical net benefit. SHapley Additive exPlanations (SHAP) analysis clearly revealed the contributions of key features from different modalities to the model's predictions, enhancing the model's interpretability. CONCLUSIONS: This study successfully constructed and validated a multimodal machine learning model integrating DECT quantitative parameters, clinical features, radiomics, and DL-3D features. The model demonstrated excellent discriminative ability in predicting DFS after NSCLC surgery and significantly outperformed traditional single-modal models. It offers a reliable decision support tool for personalized post-surgery management of NSCLC patients.","10.1007/s10278-025-01748-4","https://pubmed.ncbi.nlm.nih.gov/41419702/","(""lung cancer"" OR ""lung neoplasm"" OR ""non-small cell lung cancer"" OR ""nsclc"" OR ""small cell lung cancer"" OR ""sclc"" OR ""lung adenocarcinoma"" OR ""squamous cell lung carcinoma"" OR ""pulmonary nodule"" OR ""lung carcinoma"") AND (""multimodal"" OR ""multi-modal"" OR ""fusion"" OR ""cross-modal"" OR ""cross modal"" OR ""multimodal learning"" OR ""multimodal deep learning"" OR ""joint learning"" OR ""joint representation"" OR ""cooperative learning"" OR ""cross-attention"" OR ""cross attention"") AND (""deep learning"" OR ""neural network"" OR ""transformer"" OR ""representation learning"" OR ""self-supervised learning"" OR ""machine learning"" OR ""cnn"" OR ""vit"" OR ""vision transformer"" OR ""gnn"")","multimodal; fusion","ct; pathology","12","high","include_candidate","","","",""
"PubMed","Imaging advances of predicting spread through air spaces (STAS) in lung cancer: a narrative review.","Hui Chen; Qiuzhen Xu; Xuyan Liu; Qing Zhang; Yanni Fan","2026","Journal of thoracic disease","BACKGROUND AND OBJECTIVE: Spread through air spaces (STAS) represents a distinct invasive pattern of lung cancer that is strongly associated with local recurrence and poor prognosis. Accurate preoperative identification of STAS is crucial for optimizing surgical strategies. This review comprehensively summarizes recent advances in imaging-based prediction and diagnosis of STAS, evaluates the diagnostic performance, limitations, and challenges of current imaging features, and discusses potential directions for future research. METHODS: All the published papers were obtained from PubMed and Web of Science Core Collection on 1 July 2025. The study included original articles and reviews published in English between July 2017 and May 2025, focusing on research related to STAS and computed tomography (CT). KEY CONTENT AND FINDINGS: A total of 48 articles were finally included for this narrative review. This review mainly summarized and analyzed the diagnostic value of preoperative CT and 18F-fluorodeoxyglucose positron emission tomography/computed tomography (18F-FDG PET/CT) for detecting STAS, and with the development of artificial intelligence, the efficacy of STAS prediction models has been greatly enhanced by radiomics and deep learning methods. Emerging spectral CT enables functional tissue characterization and quantitative parameter analysis, further enhancing precision imaging. CONCLUSIONS: The imaging assessment of STAS has evolved from morphological observation to multimodal and intelligent analysis. Future research should emphasize standardized imaging protocols, multimodal data integration, and multicenter prospective validation to facilitate clinical translation.","10.21037/qims-23-984","https://pubmed.ncbi.nlm.nih.gov/38223127/","(""lung cancer"" OR ""lung neoplasm"" OR ""non-small cell lung cancer"" OR ""nsclc"" OR ""small cell lung cancer"" OR ""sclc"" OR ""lung adenocarcinoma"" OR ""squamous cell lung carcinoma"" OR ""pulmonary nodule"" OR ""lung carcinoma"") AND (""multimodal"" OR ""multi-modal"" OR ""fusion"" OR ""cross-modal"" OR ""cross modal"" OR ""multimodal learning"" OR ""multimodal deep learning"" OR ""joint learning"" OR ""joint representation"" OR ""cooperative learning"" OR ""cross-attention"" OR ""cross attention"") AND (""deep learning"" OR ""neural network"" OR ""transformer"" OR ""representation learning"" OR ""self-supervised learning"" OR ""machine learning"" OR ""cnn"" OR ""vit"" OR ""vision transformer"" OR ""gnn"")","multimodal","ct; pet","12","high","manual_check","Possible review/preprint","","",""
"PubMed","Lightweight hybrid foundation model for lung cancer prognosis based on low-dose chest X-ray images.","Helen Haile Hayeso; Zenebe Markos Lonseko; Fahad Mushabbab G Alotaibi; Tao Gan; Peifeng Shi; Shuqi Dong; Nini Rao","2026","Translational lung cancer research","BACKGROUND: Lung cancer (LC) is the leading cause of cancer mortality worldwide. Accurate prognosis in vulnerable populations, particularly in low-resource settings remains challenging with high radiation dose of standard imaging modalities. While chest X-rays (CXRs) are safer and more accessible, their low spatial resolution limits prognostic accuracy. Existing multimodal models primarily rely on computationally intensive architectures, such as computed tomography (CT) or positron emission tomography (PET) inputs, which reduce their clinical utility. This study aimed to develop and validate a lightweight hybrid foundation model (LHFM) that integrates CXR imaging with clinical data to enable accurate LC prognosis in low-resource settings. METHODS: We developed a LHFM that integrates visual features from CXR images extracted by a segment anything model (SAM)-Med2D encoder with semantically enriched prompts generated by BioGPT and clinical metadata. These multimodal features are fused via a dual-branch transformer architecture for survival prediction. The model was trained and validated on the JSRT and PadChest datasets, with external validation on multicenter datasets including the NIH CXR. Performance was evaluated using the concordance index (C-index), area under the receiver operating characteristic curve (AUROC), and Kaplan-Meier (KM) survival analysis. RESULTS: The proposed LHFM achieved superior prognostic performance, with a C-index of 0.910 [95% confidence interval (CI): 0.898-0.922, standard deviation (SD) =0.006] and AUROC of 0.935 (95% CI: 0.927-0.943, SD =0.004), outperforming existing multimodal benchmarks (P<0.001). KM curves demonstrated significant separation between the high-risk and low-risk groups. Domain-shift robustness testing across heterogeneous external datasets demonstrated representation stability under distribution shift. CONCLUSIONS: LHFM establishes a new paradigm for prognostic precision by exhibiting significant performance from low-dose CXR. This hybrid approach directly addresses the implementation gap in clinical artificial intelligence (AI), offering a scalable, equitable, and immediately applicable solution for personalized cancer care in resource-limited and radiography first workflows, with potential applicability across other cancer types.","10.1038/s41598-019-53461-2","https://pubmed.ncbi.nlm.nih.gov/31754135/","(""lung cancer"" OR ""lung neoplasm"" OR ""non-small cell lung cancer"" OR ""nsclc"" OR ""small cell lung cancer"" OR ""sclc"" OR ""lung adenocarcinoma"" OR ""squamous cell lung carcinoma"" OR ""pulmonary nodule"" OR ""lung carcinoma"") AND (""multimodal"" OR ""multi-modal"" OR ""fusion"" OR ""cross-modal"" OR ""cross modal"" OR ""multimodal learning"" OR ""multimodal deep learning"" OR ""joint learning"" OR ""joint representation"" OR ""cooperative learning"" OR ""cross-attention"" OR ""cross attention"") AND (""deep learning"" OR ""neural network"" OR ""transformer"" OR ""representation learning"" OR ""self-supervised learning"" OR ""machine learning"" OR ""cnn"" OR ""vit"" OR ""vision transformer"" OR ""gnn"")","multimodal","ct; pet; xray; clinical","14","high","include_candidate","","","",""
"PubMed","LANTERN-XGB: An Interpretable Multi-Modal Machine Learning for Improving Clinical Decision-Making in Lung Cancer.","Davide Dalfovo; Carolina Sassorossi; Elisa De Paolis; Annalisa Campanella; Dania Nachira; Leonardo Petracca Ciavarella; Luca Boldrini; Esther G C Troost; Róza Ádány; Núria Farré; Ece Öztürk; Angelo Minucci; Rocco Trisolini; Emilio Bria; Steffen Löck; Stefano Margaritora; Filippo Lococo","2026","International journal of molecular sciences","Non-small cell lung cancer (NSCLC) remains the leading cause of cancer-related mortality globally. While multi-modal artificial intelligence (AI) models offer significant predictive potential, their translation into routine clinical practice is delayed by the ""black box"" nature of complex algorithms and the fragmentation of heterogeneous data. We present LANTERN-XGB, a hierarchical machine learning workflow designed to bridge this gap by generating interpretable ""digital human avatars"" for precision oncology. The methodology employs a multi-stage scalable tree boosting system (XGBoost) architecture utilizing shapley additive explanations (SHAP) for rigorous hierarchical feature selection, missing value management, and patient-specific decision support. The workflow was developed and benchmarked using a retrospective cohort of 437 patients with clinical N0 NSCLC, followed by validation on a prospective dataset (n = 100) and an independent external dataset (n = 100). The pipeline integrates diverse data modalities to predict occult lymph node metastasis (OLM). LANTERN-XGB identified a robust consensus signature driven by non-linear interactions among CT textural fragmentation, PET metabolic heterogeneity, tumor density distribution, and systemic clinical modulators. Exploratory transcriptomic pathway analysis (GSVA) revealed that high-risk predictions strongly correlate with systemic molecular dysregulation, such as the enrichment of immune-inflammatory signaling and metabolic stress pathways. The model achieved robust discrimination in external validation (AUC ≈ 0.77), performing comparably to state-of-the-art nomogram benchmarks. Crucially, the LANTERN-XGB framework demonstrated superior utility in handling diagnostic ambiguity; local force plots allowed for the correct reclassification of ""borderline"" prediction by visualizing feature interactions that standard linear models fail to capture. LANTERN-XGB provides a validated, open-source framework that successfully balances predictive power with clinical transparency. By empowering clinicians to visualize and verify the logic behind AI predictions, this workflow offers a pragmatic path for integrating reliable multi-modal avatars into daily medical decision-making.","10.1073/pnas.0506580102","https://pubmed.ncbi.nlm.nih.gov/16199517/","(""lung cancer"" OR ""lung neoplasm"" OR ""non-small cell lung cancer"" OR ""nsclc"" OR ""small cell lung cancer"" OR ""sclc"" OR ""lung adenocarcinoma"" OR ""squamous cell lung carcinoma"" OR ""pulmonary nodule"" OR ""lung carcinoma"") AND (""multimodal"" OR ""multi-modal"" OR ""fusion"" OR ""cross-modal"" OR ""cross modal"" OR ""multimodal learning"" OR ""multimodal deep learning"" OR ""joint learning"" OR ""joint representation"" OR ""cooperative learning"" OR ""cross-attention"" OR ""cross attention"") AND (""deep learning"" OR ""neural network"" OR ""transformer"" OR ""representation learning"" OR ""self-supervised learning"" OR ""machine learning"" OR ""cnn"" OR ""vit"" OR ""vision transformer"" OR ""gnn"")","multi-modal","ct; pet; omics","17","high","include_candidate","","","",""
